happiness,familylife,finances,employment,housing,support,healthwellness,hwfrequency,socialgroup,socialgroupfrequency,serviceorganization,sorganizationfrequency,lonelinessfrequency,companionship,leftout,isolated,lonely,discuss,neighbors,family,friends,familyinperson,familyoverphone,familyoversocialmedia,friendsinperson,friendsoverphone,friendsoversocialmedia,problem,publicorindividual,government,individuals,nonprofits,churches,factors,movingaway,governmentcuts,technology,agingparents,unemployment,internet,socialmedia,socialmediafrequency,socialmediahours,lookingorengaging,connections,lonelinessandsocialmedia,onlinevsphone,onlinevsinperson,recommendinternet,spendtime,bigproblem,cause,continuous,lengthlonely,impactpersonalrelationships,impactjob,impactphysicalhealth,impactmentalhealth,talkfriend,visitpublic,counselor,exercise,drugs,cigarettes,overeat,past,browse,distract,talk,doctor,closefriend,familymember,mentalhealthprofessional,advisor,helpful,whototalkto,problemnotbad,havetime,energy,handleonyourown,afford,violentact,harmingyourself
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few,No, ,No, ,No, ,Sometimes,Never,Sometimes,Sometimes,Not Lonely,5,Very satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,A few times a week,A few times a week,A few times a week,A few times a month,A lot,More of a public health problem,No role at all,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Minor reason,Not a reason,Minor reason,Minor reason,Major reason,Yes,No, , , , , ,More satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Declined to answer,Somewhat satisfied,Somewhat satisfied,Very satisfied,Just a few,Yes,Several times a week,No, ,No, ,Sometimes,"Rarely, or","Rarely, or","Rarely, or",Not Lonely,2,Somewhat satisfied,Somewhat satisfied,Very satisfied,A few times a month,A few times a month,Never (Vol.),A few times a month,A few times a week,Never (Vol.),Some,Declined to answer,Minor role,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Major reason,Minor reason,Major reason,Minor reason,Declined to answer,Yes,No, , , , , ,Never interact with friends online (Vol.),Never interact with friends online (Vol.),"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,A fair amount,Yes,Several times a week,No, ,No, ,"Rarely, or",Sometimes,Often,"Rarely, or",Lonely,3,Somewhat satisfied,Somewhat dissatisfied,Somewhat dissatisfied,A few times a week,A few times a week,Less than that,A few times a month,A few times a week,A few times a week,Some,More of an individual problem,Minor role,Major role,No role at all,Minor role,Mostly have themselves to blame,Minor reason,Minor reason,Major reason,Not a reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Strengthened,Better,Less satisfied,Equally satisfied,"No, would not recommend",Hasn't made a difference,Minor problem,Family issues/problems/concerns/disagreements,Loneliness comes and goes,Less than 6 months,No impact,Somewhat positive,Somewhat positive,Somewhat negative,Almost always,Sometimes,Never,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Yes,No,Yes,Yes,No,No,Somewhat helpful, , , , , , ,No,Yes
Somewhat happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,No one,No, ,No, ,No, ,Never,"Rarely, or",Never,Never,Not Lonely,5,Somewhat satisfied,Very satisfied,Very satisfied,Less than that,A few times a month,Never (Vol.),A few times a month,Never (Vol.),A few times a week,Nothing at all,More of a public health problem,No role at all,Major role,Major role,Minor role,Due to factors and circumstances beyond their control,Major reason,Minor reason,Not a reason,Not a reason,Major reason,Yes,No, , , , , ,Equally satisfied,Less satisfied,"Yes, would recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,Yes,Several times a week,No, ,Yes,About once a week,Never,Always,Never,Sometimes,Lonely,4,Very satisfied,Very satisfied,Very satisfied,Every day,Every day,Every day,Every day,Every day,Every day,A lot,More of a public health problem,Major role,Major role,Major role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Minor reason,Major reason,Major reason,Yes,No, , , , , ,Less satisfied,Less satisfied,"Yes, would recommend",Harder,Major problem,Death/loss of a spouse/significant other,Loneliness comes and goes,6 months to less than a year,Somewhat negative,Somewhat negative,Somewhat negative,No impact,Almost always,Almost always,Almost always,Almost always,Almost always,Never,Sometimes,Never,Never,Almost always,Yes,Yes,Yes,Yes,Yes,Yes,Very helpful, , , , , , ,No,No
Somewhat happy,Somewhat satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,"Rarely, or","Rarely, or",Never,Often,Lonely,3,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,A few times a month,A few times a month,A few times a month,A few times a month,A few times a month,A few times a month,A lot,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Major reason,Minor reason,Minor reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Both/Neither (Vol.),Better,Equally satisfied,Equally satisfied,"Yes, would recommend",Easier,Isn't really a problem,No specific cause for feelings of loneliness,Loneliness comes and goes,Less than 6 months,No impact,No impact,No impact,No impact,Sometimes,Never,Rarely,Sometimes,Almost always,Almost always,Sometimes,Never,Almost always,Never,Yes,No,Yes,Yes,No,No,Very helpful, , , , , , ,No,No
Not too happy,Somewhat satisfied,Very dissatisfied,Very dissatisfied,Somewhat satisfied,Just a few,Yes,Several times a week,No, ,Yes,Once or twice a month,Often,Sometimes,Often,Often,Lonely,3,Somewhat satisfied,Very dissatisfied,Somewhat dissatisfied,A few times a week,A few times a month,A few times a week,A few times a month,A few times a month,A few times a week,Only a little,More of a public health problem,Major role,Major role,Major role,Major role,Not sure,Minor reason,Major reason,Major reason,Major reason,Major reason,Yes,Yes,A few times a week,Less than half an hour,Looking at what other people are doing,Not sure,Worse,Less satisfied,Less satisfied,Not sure,Harder,Minor problem,Physical/health problems,Continually lonely,One to two years,Very negative,Very negative,Very negative,Very negative,Sometimes,Never,Never,Rarely,Sometimes,Sometimes,Almost always,Never,Never,Never,No, , , , , , ,Major reason,Not a reason,Not a reason,Major reason,Major reason,Major reason,No,Yes
Very happy,Somewhat satisfied,Very satisfied,Somewhat satisfied,Very satisfied,A fair amount,Yes,Several times a week,No, ,No, ,Often,Often,Sometimes,Sometimes,Lonely,1,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,A few times a week,Every day,Every day,A few times a week,Every day,Every day,Nothing at all,More of a public health problem,Major role,Minor role,Minor role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Major reason,Minor reason,Yes,Yes,A few times a week,At least an hour but less than 2 hours,An equal mix of both,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Harder,Minor problem,No specific cause for feelings of loneliness,Continually lonely,Three to five years,Somewhat negative,Somewhat negative,Somewhat negative,Very negative,Never,Never,Never,Sometimes,Almost always,Sometimes,Sometimes,Never,Never,Never,No, , , , , , ,Major reason,Minor reason,Not a reason,Major reason,Major reason,Minor reason,No,Yes
Very happy,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,No, ,Yes,Never (Vol.),No, ,Never,Never,Never,Never,Not Lonely,3,Very satisfied,Somewhat satisfied,Very satisfied,A few times a week,A few times a week,Less than that,A few times a week,A few times a week,Less than that,Nothing at all,More of an individual problem,No role at all,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Not sure,Minor reason,Major reason,No,No, , , , , , , ,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,No, ,Yes,Once or twice a month,Never,Never,Never,Never,Not Lonely,7,Somewhat satisfied,Very satisfied,Very satisfied,Every day,Every day,Every day,Every day,Every day,Every day,Some,More of an individual problem,Minor role,Major role,Minor role,Major role,Mostly have themselves to blame,Not a reason,Not a reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,Less than half an hour,Looking at what other people are doing,Strengthened,Better,More satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,Yes,About once a week,Yes,About once a week,Yes,About once a week,Never,Never,Never,Never,Not Lonely,3,Very satisfied,Very satisfied,Very satisfied,Every day,Every day,A few times a week,Every day,Every day,Every day,A lot,More of an individual problem,Minor role,Major role,Minor role,Major role,Both equally/It depends (Vol.),Minor reason,Not a reason,Major reason,Major reason,Major reason,Yes,Yes,Once or twice a month, ,Looking at what other people are doing,Strengthened,Better,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Very dissatisfied,Very dissatisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,Always,Always,Always,Always,Lonely,5,Very dissatisfied,Somewhat satisfied,Somewhat satisfied,Less than that,Every day,Every day,Less than that,Every day,Every day,Nothing at all,More of a public health problem,No role at all,Major role,Minor role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Minor reason,Major reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Weakened,Better,Equally satisfied,Equally satisfied,"No, would not recommend",Harder,Isn't really a problem,No specific cause for feelings of loneliness,Continually lonely,More than ten year,Very negative,No impact,No impact,Somewhat negative,Never,Never,Never,Almost always,Almost always,Almost always,Almost always,Never,Almost always,Never,No, , , , , , ,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,No,No
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,More than 50,Very satisfied,Very satisfied,Very satisfied,Every day,Every day,Every day,Every day,Every day,Every day,Not sure,More of a public health problem,No role at all,Major role,Not sure,Major role,Both equally/It depends (Vol.),Not a reason,Not a reason,Minor reason,Not sure,Not a reason,Yes,Declined to answer, , , , , ,Equally satisfied,Equally satisfied,Not sure,Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,No, ,Yes,Several times a week,No, ,"Rarely, or","Rarely, or",Never,Sometimes,Not Lonely,30,Somewhat satisfied,Very satisfied,Very satisfied,A few times a year,A few times a week,A few times a month,A few times a week,Less than that,A few times a month,Only a little,More of an individual problem,No role at all,Minor role,No role at all,Major role,Declined to answer,Minor reason,Not a reason,Major reason,Minor reason,Minor reason,Yes,No, , , , , ,Never interact with friends online (Vol.),Never interact with friends online (Vol.),"No, would not recommend",Declined to answer, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Very satisfied,Somewhat satisfied,Very satisfied,A lot,No, ,No, ,No, ,"Rarely, or",Never,"Rarely, or","Rarely, or",Not Lonely,5,Very satisfied,Very satisfied,Very satisfied,Every day,Every day,Every day,Every day,Every day,Every day,A lot,Not sure,No role at all,Major role,Minor role,Minor role,Mostly have themselves to blame,Not a reason,Not a reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Strengthened,No impact (Vol.),Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat dissatisfied,Just a few,No, ,No, ,No, ,Sometimes,Sometimes,Sometimes,Never,Not Lonely,6,Somewhat satisfied,Very satisfied,Very satisfied,A few times a year,Less than that,A few times a year,A few times a month,A few times a week,Less than that,Nothing at all,More of an individual problem,No role at all,Minor role,Minor role,Minor role,Mostly have themselves to blame,Major reason,Not a reason,Not a reason,Minor reason,Major reason,Yes,Yes,Less than that, ,Engaging in conversations with other people,Strengthened,Better,Equally satisfied,Less satisfied,"Yes, would recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat dissatisfied,Very satisfied,Very satisfied,Just a few,Yes,Several times a week,No, ,No, ,"Rarely, or","Rarely, or","Rarely, or","Rarely, or",Not Lonely,4,Very satisfied,Very satisfied,Somewhat satisfied,Less than that,A few times a year,A few times a month,A few times a week,A few times a week,A few times a week,Nothing at all,More of an individual problem,No role at all,Minor role,Minor role,Minor role,Mostly have themselves to blame,Major reason,Minor reason,Not a reason,Minor reason,Minor reason,Yes,Yes,A few times a week,At least an hour but less than 2 hours,An equal mix of both,Strengthened,No impact (Vol.),Equally satisfied,Equally satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Just a few,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,1,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,Every day,A few times a week,A few times a week,A few times a week,A few times a week,Only a little,More of a public health problem,No role at all,Not sure,No role at all,Not sure,Not sure,Minor reason,Minor reason,Not a reason,Not a reason,Major reason,No,Yes,A few times a week,Less than half an hour,An equal mix of both,Both/Neither (Vol.),Never have feelings of loneliness (Vol.), , ,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat dissatisfied,Very satisfied,Very satisfied,Just a few,No, ,Yes,About once a week,Yes,Several times a week,Sometimes,"Rarely, or",Never,Sometimes,Not Lonely,8,Very satisfied,Somewhat satisfied,Very satisfied,Every day,Every day,A few times a week,A few times a week,A few times a week,A few times a week,A lot,More of a public health problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Minor reason,Not a reason,Major reason,Major reason,Yes,No, , , , , ,Never interact with friends online (Vol.),Never interact with friends online (Vol.),"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Very satisfied,Declined to answer,Very satisfied,A fair amount,No, ,Yes,About once a week,No, ,"Rarely, or","Rarely, or","Rarely, or","Rarely, or",Not Lonely,13,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,Every day,A few times a week,A few times a week,A few times a week,A few times a week,Some,More of an individual problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Minor reason,Major reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Strengthened,No impact (Vol.),Equally satisfied,More satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat dissatisfied,Just a few,No, ,Yes,Several times a week,No, ,Often,Sometimes,"Rarely, or",Sometimes,Lonely,5,Somewhat satisfied,Very dissatisfied,Somewhat satisfied,Less than that,Never (Vol.),Never (Vol.),A few times a week,A few times a week,A few times a week,Only a little,More of a public health problem,No role at all,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Major reason,Major reason,Minor reason,Major reason,Yes,No, , , , , ,Less satisfied,Less satisfied,"No, would not recommend",Harder,Minor problem,No specific cause for feelings of loneliness,Loneliness comes and goes,More than ten year,Somewhat negative,No impact,Somewhat negative,Somewhat negative,Sometimes,Sometimes,Never,Rarely,Sometimes,Rarely,Sometimes,Never,Never,Rarely,Yes,No,Yes,No,No,Yes,Very helpful, , , , , , ,No,No
Somewhat happy,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat satisfied,A fair amount,No, ,No, ,No, ,Sometimes,Often,Never,"Rarely, or",Lonely,2,Very satisfied,Somewhat satisfied,Somewhat satisfied,Every day,Every day,A few times a month,A few times a month,A few times a month,A few times a month,Only a little,More of an individual problem,Minor role,Major role,Major role,Major role,Mostly have themselves to blame,Major reason,Not sure,Not a reason,Major reason,Minor reason,Yes,No, , , , , ,Never interact with friends online (Vol.),Never interact with friends online (Vol.),"No, would not recommend",Harder,Minor problem,No specific cause for feelings of loneliness,Loneliness comes and goes,Not sure,No impact,Somewhat positive,No impact,Somewhat positive,Sometimes,Never,Rarely,Sometimes,Rarely,Rarely,Almost always,Never,Never,Rarely,No, , , , , , ,Major reason,Major reason,Not a reason,Not a reason,Major reason,Not a reason,No,No
Not too happy,Very dissatisfied,Very dissatisfied,Somewhat dissatisfied,Very dissatisfied,Just a few,No, ,No, ,No, ,Often,Often,Always,Often,Lonely,2,Not applicable (Vol.),Very dissatisfied,Very dissatisfied,Don't have any family (Vol.),Don't have any family (Vol.),Don't have any family (Vol.),A few times a month,A few times a month,A few times a month,Nothing at all,More of an individual problem,No role at all,Major role,Major role,Major role,Mostly have themselves to blame,Major reason,Major reason,Major reason,Not a reason,Not a reason,Yes,No, , , , , ,Equally satisfied,Equally satisfied,"No, would not recommend",Hasn't made a difference,Declined to answer,Declined to answer,Continually lonely,More than ten year,No impact,Not applicable/Not employed/Retired/Disabled (Vol.),Very negative,Very negative,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Almost always,Almost always,Sometimes,Yes,No,Yes,No,No,No,Not at all helpful, , , , , , ,Yes,Yes
Very happy,Very satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Just a few,No, ,No, ,No, ,Sometimes,Sometimes,Sometimes,Sometimes,Not Lonely,4,Very dissatisfied,Somewhat dissatisfied,Very satisfied,Every day,Every day,A few times a month,Every day,Every day,Every day,Some,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Minor reason,Minor reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,Engaging in conversations with other people,Strengthened,No impact (Vol.),Equally satisfied,Equally satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Very dissatisfied,Very dissatisfied,Somewhat dissatisfied,A fair amount,No, ,No, ,No, ,Sometimes,Often,Sometimes,Sometimes,Lonely,4,Somewhat satisfied,Very satisfied,Somewhat satisfied,A few times a year,A few times a week,A few times a month,A few times a week,A few times a month,A few times a week,Some,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Minor reason,Major reason,Major reason,Yes,No, , , , , ,More satisfied,Equally satisfied,"No, would not recommend",Hasn't made a difference,Minor problem,No specific cause for feelings of loneliness,Continually lonely,Three to five years,Very negative,Somewhat positive,No impact,Very negative,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Almost always,Sometimes,Sometimes,Never,Yes,Yes,Yes,Yes,Yes,No,Very helpful, , , , , , ,No,Yes
Somewhat happy,Very satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,Always,Often,Sometimes,Always,Lonely,1,Very dissatisfied,Somewhat dissatisfied,Somewhat satisfied,A few times a week,A few times a week,Every day,A few times a week,A few times a week,Every day,Some,More of a public health problem,No role at all,Major role,Major role,Minor role,Due to factors and circumstances beyond their control,Not a reason,Major reason,Not a reason,Not a reason,Not a reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Strengthened,Better,Equally satisfied,Less satisfied,"Yes, would recommend",Harder,Minor problem,Death/loss of parent,Loneliness comes and goes,One to two years,Very negative,No impact,Somewhat negative,Somewhat negative,Never,Rarely,Never,Never,Never,Almost always,Almost always,Never,Almost always,Never,Yes,Yes,Yes,No,Yes,No,Somewhat helpful, , , , , , ,No,No
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Just a few,No, ,No, ,Yes,Several times a week,"Rarely, or",Never,Never,"Rarely, or",Not Lonely,5,Somewhat satisfied,Very satisfied,Very satisfied,Every day,Every day,Every day,Every day,A few times a month,Every day,Only a little,More of a public health problem,Minor role,Major role,Minor role,Minor role,Mostly have themselves to blame,Minor reason,Minor reason,Major reason,Major reason,Minor reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Very dissatisfied,Somewhat satisfied,Somewhat dissatisfied,A fair amount,No, ,Yes,Once or twice a month,No, ,"Rarely, or",Sometimes,"Rarely, or",Never,Not Lonely,3,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,A few times a week,Every day,A few times a week,Every day,A few times a week,A few times a week,A lot,More of a public health problem,Minor role,Major role,Major role,Minor role,Due to factors and circumstances beyond their control,Major reason,Minor reason,Minor reason,Minor reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Strengthened,Better,Equally satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,5,Very satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,Every day,Every day,Every day,Every day,Some,Declined to answer,No role at all,Major role,Major role,Major role,Not sure,Minor reason,Not a reason,Not a reason,Not a reason,Not a reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Strengthened,Never have feelings of loneliness (Vol.),Equally satisfied,Declined to answer,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Somewhat satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,A fair amount,No, ,No, ,No, ,"Rarely, or",Often,Never,Often,Lonely,4,Very satisfied,Very satisfied,Somewhat satisfied,Every day,Every day,Less than that,Less than that,Less than that,Less than that,Some,More of an individual problem,No role at all,Minor role,Minor role,Major role,Both equally/It depends (Vol.),Minor reason,Not a reason,Not a reason,Major reason,Minor reason,No,No, , , , , , , ,"Yes, would recommend",Hasn't made a difference,Minor problem,Death/loss of a spouse/significant other,Loneliness comes and goes,One to two years,Somewhat positive,Not applicable/Not employed/Retired/Disabled (Vol.),Somewhat negative,Somewhat negative,Sometimes,Rarely,Never,Sometimes,Almost always,Never,Almost always,Rarely,Never,Sometimes,Yes,Yes,Yes,Yes,No,No,Somewhat helpful, , , , , , ,No,No
Somewhat happy,Somewhat satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Just a few,No, ,Yes,About once a week,No, ,Sometimes,Sometimes,Sometimes,Sometimes,Not Lonely,3,Very satisfied,Somewhat satisfied,Somewhat satisfied,A few times a week,Every day,Every day,A few times a year,A few times a week,Every day,A lot,More of an individual problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Not a reason,Not a reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,Yes,Once or twice a month,No, ,No, ,"Rarely, or","Rarely, or",Never,"Rarely, or",Not Lonely,20,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,A few times a week,A few times a week,A few times a week,A few times a week,A lot,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Major reason,Major reason,Yes,Yes,A few times a week,More than half an hour but less than one hour,An equal mix of both,Both/Neither (Vol.),Worse,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,A fair amount,No, ,Yes,About once a week,No, ,"Rarely, or","Rarely, or","Rarely, or","Rarely, or",Not Lonely,10,Very satisfied,Somewhat satisfied,Somewhat satisfied,Every day,Every day,Every day,A few times a year,A few times a year,Every day,Some,More of an individual problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Not a reason,Minor reason,Major reason,Not a reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Weakened,Better,Equally satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,Yes,Several times a week,No, ,No, ,Never,Never,Never,Never,Not Lonely,12,Somewhat satisfied,Very satisfied,Very satisfied,Every day,Every day,A few times a month,A few times a week,A few times a month,A few times a year,Only a little,More of an individual problem,Minor role,Minor role,Minor role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Minor reason,Minor reason,Minor reason,Yes,No, , , , , ,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A fair amount,No, ,Yes,Several times a week,No, ,"Rarely, or",Never,"Rarely, or","Rarely, or",Not Lonely,20,Somewhat satisfied,Somewhat dissatisfied,Very satisfied,A few times a year,A few times a week,A few times a week,A few times a week,A few times a month,A few times a week,Only a little,More of an individual problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Not a reason,Minor reason,Major reason,Minor reason,Yes,Yes,Every day,At least an hour but less than 2 hours,Looking at what other people are doing,Strengthened,Worse,Equally satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Somewhat happy,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few,Yes,Several times a week,No, ,No, ,Never,Sometimes,Never,Sometimes,Not Lonely,10,Somewhat satisfied,Very satisfied,Very satisfied,A few times a month,A few times a week,A few times a week,A few times a week,A few times a week,A few times a month,Only a little,More of an individual problem,Minor role,Major role,Minor role,Major role,Mostly have themselves to blame,Major reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,Less than half an hour,Looking at what other people are doing,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,A lot,No, ,Yes,Several times a week,Yes,About once a week,"Rarely, or",Sometimes,Sometimes,Sometimes,Not Lonely,4,Very satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,A few times a week,Every day,A few times a week,A few times a week,Nothing at all,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Minor reason,Major reason,Major reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Strengthened,Better,Equally satisfied,Less satisfied,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,Several times a week,Yes,Once or twice a month,Never,Never,Never,"Rarely, or",Not Lonely,10,Very satisfied,Very satisfied,Very satisfied,A few times a week,Every day,Every day,A few times a week,A few times a month,Every day,A lot,More of a public health problem,No role at all,Major role,Major role,Major role,Both equally/It depends (Vol.),Major reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,Engaging in conversations with other people,Strengthened,Better,Equally satisfied,Equally satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
