1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,qnage,qnage2,qnrsex,qnstate,qnmarita,qndhh1,qnkids,qnkidsag,qnkidsad,qnemptyn,qn50a,qn50b,qn50c,qn50d,qn50e,qn50f,qn50g,qn50h,qnhealth,qnmhealt,qndebili,qnmcondi,qnemploy,qnpartyu,qneducus,qnreligo,qnhispan,qnraceus,qnrace_1,qnnativi,qnincome,qnl1,qnc1,qnusr,int1,recage,recage2,recage3,gender,rechealt,rechea_1,recemplo,receduc,receduc2,receduc3,racethn,racethn2,recincom,q5_any_o,q50_yes_,hphoneus,cstate,final_ms,cregion,density,division,urban,usr,endlang,intdate,wt1,weight
Somewhat happy,Somewhat satisfied,Very satisfied,Very satisfied,Somewhat satisfied,A fair amount,No, ,No, ,No, ,Sometimes,Often,Never,"Rarely, or",Lonely,2,Very satisfied,Somewhat satisfied,Somewhat satisfied,Every day,Every day,A few times a month,A few times a month,A few times a month,A few times a month,Only a little,More of an individual problem,Minor role,Major role,Major role,Major role,Mostly have themselves to blame,Major reason,Not sure,Not a reason,Major reason,Minor reason,Yes,No, , , , , ,Never interact with friends online (Vol.),Never interact with friends online (Vol.),"No, would not recommend",Harder,Minor problem,No specific cause for feelings of loneliness,Loneliness comes and goes,Not sure,No impact,Somewhat positive,No impact,Somewhat positive,Sometimes,Never,Rarely,Sometimes,Rarely,Rarely,Almost always,Never,Never,Rarely,No, , , , , , ,Major reason,Major reason,Not a reason,Not a reason,Major reason,Not a reason,No,No,85, ,Female, ,"Widowed, or",3,2,10, , ,No,No,Yes,No,No,Yes,No,No,Good,Good,Yes,No,Retired,Independent,High school graduate (Grade 12 with diploma or GED certificate),Once a week,No,White, , ,"$50,000 to less than $75,000", ,"Yes, has a home telephone",Rural,"No, did not request money",65+,80+,80-97,FEMALE,Good,Excellent/Very Good/Good,Retired,High school graduate,High school or less,Less than college,"White, non-Hispanic","White, non-Hispanic",$40K-$89.9K,No to all,Yes to any,Dual HH,Pennsylvania,Suburban (Metro),Northeast,3,Mid Atlantic,3,Suburban,EN,20180507,0.839,0.6724
Not too happy,Very dissatisfied,Very dissatisfied,Somewhat dissatisfied,Very dissatisfied,Just a few,No, ,No, ,No, ,Often,Often,Always,Often,Lonely,2,Not applicable (Vol.),Very dissatisfied,Very dissatisfied,Don't have any family (Vol.),Don't have any family (Vol.),Don't have any family (Vol.),A few times a month,A few times a month,A few times a month,Nothing at all,More of an individual problem,No role at all,Major role,Major role,Major role,Mostly have themselves to blame,Major reason,Major reason,Major reason,Not a reason,Not a reason,Yes,No, , , , , ,Equally satisfied,Equally satisfied,"No, would not recommend",Hasn't made a difference,Declined to answer,Declined to answer,Continually lonely,More than ten year,No impact,Not applicable/Not employed/Retired/Disabled (Vol.),Very negative,Very negative,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Almost always,Almost always,Sometimes,Yes,No,Yes,No,No,No,Not at all helpful, , , , , , ,Yes,Yes,24, ,Female, ,"Single, that is never married",6 or more,0, ,No, ,Yes,Yes,Yes,No,No,Yes,Yes,No,Poor,Poor,Yes,No,Unemployed and not seeking employment,Declined to answer,High school incomplete (Grades 9-11 or Grade 12 with no diploma),Never,No,White, , ,"Less than $20,000", ,"No, no home telephone",Urban,"No, did not request money",18-64,18-29,18-24,FEMALE,Only fair/Poor,Only fair/Poor,Unemployed,Less than high school,High school or less,Less than college,"White, non-Hispanic","White, non-Hispanic",Less than $40K,No to all,Yes to any,CPO HH,Ohio,Urban- Center City (Metro),North Central,3,East North Central,4,Suburban,EN,20180507,1.3501,1.1967
Very happy,Very satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Just a few,No, ,No, ,No, ,Sometimes,Sometimes,Sometimes,Sometimes,Not Lonely,4,Very dissatisfied,Somewhat dissatisfied,Very satisfied,Every day,Every day,A few times a month,Every day,Every day,Every day,Some,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Minor reason,Minor reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,Engaging in conversations with other people,Strengthened,No impact (Vol.),Equally satisfied,Equally satisfied,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31, ,Male, ,"Single, that is never married",4,0, ,No, ,Yes,No,No,No,No,No,No,Yes,Good,Good,No,Yes,Unemployed and currently seeking employment,Or what?,High school graduate (Grade 12 with diploma or GED certificate),Seldom,No,Other or mixed race (SPECIFY),white black west indian, ,"$100,000 or more", ,"Yes, has a home telephone",Urban,"Yes, requested money",18-64,30-49,25-34,MALE,Good,Excellent/Very Good/Good,Unemployed,High school graduate,High school or less,Less than college,"Other, non-Hispanic","Other, non-Hispanic",$90K+,No to all,Yes to any,Dual HH,New York,Suburban- Non-Center City (Metro),Northeast,Highest,Mid Atlantic,3,Suburban,EN,20180507,0.839,1.69
Somewhat happy,Somewhat satisfied,Very dissatisfied,Very dissatisfied,Somewhat dissatisfied,A fair amount,No, ,No, ,No, ,Sometimes,Often,Sometimes,Sometimes,Lonely,4,Somewhat satisfied,Very satisfied,Somewhat satisfied,A few times a year,A few times a week,A few times a month,A few times a week,A few times a month,A few times a week,Some,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Minor reason,Major reason,Major reason,Yes,No, , , , , ,More satisfied,Equally satisfied,"No, would not recommend",Hasn't made a difference,Minor problem,No specific cause for feelings of loneliness,Continually lonely,Three to five years,Very negative,Somewhat positive,No impact,Very negative,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Almost always,Sometimes,Sometimes,Never,Yes,Yes,Yes,Yes,Yes,No,Very helpful, , , , , , ,No,Yes,28, ,Male, ,"Single, that is never married",4,0, ,No, ,Yes,No,No,No,No,Yes,No,No,Very good,Only fair,No,Yes,Employed part-time,Independent,High school graduate (Grade 12 with diploma or GED certificate),A few times a year,No,Black or African-American, , ,"Less than $20,000", ,"Yes, has a home telephone",Urban,"No, did not request money",18-64,18-29,25-34,MALE,Excellent/Very Good,Excellent/Very Good/Good,Employed,High school graduate,High school or less,Less than college,"Black, non-Hispanic","Black, non-Hispanic",Less than $40K,No to all,Yes to any,Dual HH,New York,Urban- Center City (Metro),Northeast,Highest,Mid Atlantic,1,Urban,EN,20180507,0.839,1.1693
Somewhat happy,Very satisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Just a few,No, ,No, ,No, ,Always,Often,Sometimes,Always,Lonely,1,Very dissatisfied,Somewhat dissatisfied,Somewhat satisfied,A few times a week,A few times a week,Every day,A few times a week,A few times a week,Every day,Some,More of a public health problem,No role at all,Major role,Major role,Minor role,Due to factors and circumstances beyond their control,Not a reason,Major reason,Not a reason,Not a reason,Not a reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Strengthened,Better,Equally satisfied,Less satisfied,"Yes, would recommend",Harder,Minor problem,Death/loss of parent,Loneliness comes and goes,One to two years,Very negative,No impact,Somewhat negative,Somewhat negative,Never,Rarely,Never,Never,Never,Almost always,Almost always,Never,Almost always,Never,Yes,Yes,Yes,No,Yes,No,Somewhat helpful, , , , , , ,No,No,32, ,Female, ,Divorced,1,6 or more,4, , ,No,No,Yes,No,No,Yes,No,Yes,Good,Good,No,Yes,Employed full-time,Independent,Two-year associate degree from a college or university,Never,No,White, , ,"Less than $20,000", ,"No, no home telephone",Not sure,"No, did not request money",18-64,30-49,25-34,FEMALE,Good,Excellent/Very Good/Good,Employed,Some college,Some college,Less than college,"White, non-Hispanic","White, non-Hispanic",Less than $40K,No to all,Yes to any,CPO HH,Ohio,Rural- Non-Metro,North Central,2,East North Central,4,Suburban,EN,20180507,1.3501,1.5915
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,Just a few,No, ,No, ,Yes,Several times a week,"Rarely, or",Never,Never,"Rarely, or",Not Lonely,5,Somewhat satisfied,Very satisfied,Very satisfied,Every day,Every day,Every day,Every day,A few times a month,Every day,Only a little,More of a public health problem,Minor role,Major role,Minor role,Minor role,Mostly have themselves to blame,Minor reason,Minor reason,Major reason,Major reason,Minor reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,20, ,Female, ,"Single, that is never married",5,0, ,No, ,No,No,Yes,No,No,Yes,No,Yes,Excellent,Very good,No,No,Employed part-time,Democrat,"Some college, no degree (includes some community college)",Never,No,Other or mixed race (SPECIFY),MIXED, ,"$100,000 or more", ,"No, no home telephone",Urban,"No, did not request money",18-64,18-29,18-24,FEMALE,Excellent/Very Good,Excellent/Very Good/Good,Employed,Some college,Some college,Less than college,"Other, non-Hispanic","Other, non-Hispanic",$90K+,Yes to any,Yes to any,CPO HH,Pennsylvania,Urban- Center City (Metro),Northeast,4,Mid Atlantic,2,Urban,EN,20180507,1.3501,1.4905
Somewhat happy,Somewhat satisfied,Very dissatisfied,Somewhat satisfied,Somewhat dissatisfied,A fair amount,No, ,Yes,Once or twice a month,No, ,"Rarely, or",Sometimes,"Rarely, or",Never,Not Lonely,3,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,A few times a week,Every day,A few times a week,Every day,A few times a week,A few times a week,A lot,More of a public health problem,Minor role,Major role,Major role,Minor role,Due to factors and circumstances beyond their control,Major reason,Minor reason,Minor reason,Minor reason,Major reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Strengthened,Better,Equally satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,31, ,Male, ,"Single, that is never married",3,0, ,No, ,No,No,No,No,Yes,Yes,No,Yes,Good,Good,No,No,Employed part-time,Democrat,High school graduate (Grade 12 with diploma or GED certificate),A few times a year,No,White, , ,"$20,000 to less than $30,000", ,"No, no home telephone",Suburban,"No, did not request money",18-64,30-49,25-34,MALE,Good,Excellent/Very Good/Good,Employed,High school graduate,High school or less,Less than college,"White, non-Hispanic","White, non-Hispanic",Less than $40K,Yes to any,Yes to any,CPO HH,Ohio,Urban- Center City (Metro),North Central,Highest,East North Central,3,Suburban,EN,20180507,1.3501,1.603
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A lot,No, ,No, ,No, ,Never,Never,Never,Never,Not Lonely,5,Very satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,Every day,Every day,Every day,Every day,Some,Declined to answer,No role at all,Major role,Major role,Major role,Not sure,Minor reason,Not a reason,Not a reason,Not a reason,Not a reason,Yes,Yes,Every day,More than half an hour but less than one hour,An equal mix of both,Strengthened,Never have feelings of loneliness (Vol.),Equally satisfied,Declined to answer,"Yes, would recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,43, ,Male, ,Married,2,2,10, , ,No,No,No,No,No,Yes,Yes,No,Very good,Excellent,No,No,Employed full-time,Or what?,Two-year associate degree from a college or university,Seldom,No,White, , ,"$75,000 to less than $90,000", ,"No, no home telephone",Rural,"No, did not request money",18-64,30-49,35-44,MALE,Excellent/Very Good,Excellent/Very Good/Good,Employed,Some college,Some college,Less than college,"White, non-Hispanic","White, non-Hispanic",$40K-$89.9K,No to all,Yes to any,CPO HH,N/A, , ,N/A,South Atlantic,9,Cannot determine,EN,20180507,1.3501,1.8796
Very happy,Somewhat satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,A fair amount,No, ,No, ,No, ,"Rarely, or",Often,Never,Often,Lonely,4,Very satisfied,Very satisfied,Somewhat satisfied,Every day,Every day,Less than that,Less than that,Less than that,Less than that,Some,More of an individual problem,No role at all,Minor role,Minor role,Major role,Both equally/It depends (Vol.),Minor reason,Not a reason,Not a reason,Major reason,Minor reason,No,No, , , , , , , ,"Yes, would recommend",Hasn't made a difference,Minor problem,Death/loss of a spouse/significant other,Loneliness comes and goes,One to two years,Somewhat positive,Not applicable/Not employed/Retired/Disabled (Vol.),Somewhat negative,Somewhat negative,Sometimes,Rarely,Never,Sometimes,Almost always,Never,Almost always,Rarely,Never,Sometimes,Yes,Yes,Yes,Yes,No,No,Somewhat helpful, , , , , , ,No,No,81, ,Male, ,"Widowed, or",1,0, ,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Good,Good,Yes,No,Retired,Democrat,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Once or twice a month,No,White, , ,"$40,000 to less than $50,000", ,"Yes, has a home telephone",Urban,"No, did not request money",65+,80+,80-97,MALE,Good,Excellent/Very Good/Good,Retired,College +,College +,College +,"White, non-Hispanic","White, non-Hispanic",$40K-$89.9K,No to all,Yes to any,Dual HH,Florida,Urban- Center City (Metro),South,Highest,South Atlantic,2,Urban,EN,20180507,0.4775,0.3121
Somewhat happy,Somewhat satisfied,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Just a few,No, ,Yes,About once a week,No, ,Sometimes,Sometimes,Sometimes,Sometimes,Not Lonely,3,Very satisfied,Somewhat satisfied,Somewhat satisfied,A few times a week,Every day,Every day,A few times a year,A few times a week,Every day,A lot,More of an individual problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Not a reason,Not a reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,46, ,Female, ,Separated,3,1,15, , ,Yes,Yes,Yes,No,No,No,Yes,No,Poor,Only fair,No,Yes,Employed full-time,Independent,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Once or twice a month,No,Black or African-American, , ,"$50,000 to less than $75,000", ,"Yes, has a home telephone",Rural,"No, did not request money",18-64,30-49,45-54,FEMALE,Only fair/Poor,Only fair/Poor,Employed,College +,College +,College +,"Black, non-Hispanic","Black, non-Hispanic",$40K-$89.9K,Yes to any,Yes to any,Dual HH,Georgia,Suburban (Metro),South,3,South Atlantic,3,Suburban,EN,20180507,0.839,1.3557
Somewhat happy,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,Yes,Once or twice a month,No, ,No, ,"Rarely, or","Rarely, or",Never,"Rarely, or",Not Lonely,20,Somewhat satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,A few times a week,A few times a week,A few times a week,A few times a week,A lot,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Major reason,Major reason,Yes,Yes,A few times a week,More than half an hour but less than one hour,An equal mix of both,Both/Neither (Vol.),Worse,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,63, ,Female, ,Married,2,0, ,Yes,No,No,No,No,No,No,No,No,No,Only fair,Good,No,Yes,Retired,Independent,Two-year associate degree from a college or university,Never,No,White, , ,"$90,000 to less than $100,000", ,"Yes, has a home telephone",Rural,"No, did not request money",18-64,50-64,55-64,FEMALE,Only fair/Poor,Only fair/Poor,Retired,Some college,Some college,Less than college,"White, non-Hispanic","White, non-Hispanic",$90K+,Yes to any,No to all,Dual HH,Washington,Urban- Center City County (Metro),West,2,Pacific,3,Suburban,EN,20180507,0.7055,1.0831
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Somewhat satisfied,A fair amount,No, ,Yes,About once a week,No, ,"Rarely, or","Rarely, or","Rarely, or","Rarely, or",Not Lonely,10,Very satisfied,Somewhat satisfied,Somewhat satisfied,Every day,Every day,Every day,A few times a year,A few times a year,Every day,Some,More of an individual problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Not a reason,Minor reason,Major reason,Not a reason,Yes,Yes,Every day,At least an hour but less than 2 hours,An equal mix of both,Weakened,Better,Equally satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,57, ,Female, ,Married,2,0, ,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Good,Very good,Yes,No,Retired,Independent,"Some college, no degree (includes some community college)",Once a week,No,White, , ,Declined to answer, ,"No, no home telephone",Suburban,"No, did not request money",18-64,50-64,55-64,FEMALE,Good,Excellent/Very Good/Good,Retired,Some college,Some college,Less than college,"White, non-Hispanic","White, non-Hispanic",Don't know/Refused,Yes to any,Yes to any,CPO HH,Indiana,Rural- Non-Metro,North Central,2,East North Central,5,Rural,EN,20180507,1.3501,1.016
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,A fair amount,Yes,Several times a week,No, ,No, ,Never,Never,Never,Never,Not Lonely,12,Somewhat satisfied,Very satisfied,Very satisfied,Every day,Every day,A few times a month,A few times a week,A few times a month,A few times a year,Only a little,More of an individual problem,Minor role,Minor role,Minor role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Minor reason,Minor reason,Minor reason,Minor reason,Yes,No, , , , , ,Less satisfied,Less satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,57, ,Male, ,Married,2,0, ,Yes,No,No,No,No,No,No,No,No,No,Good,Very good,No,No,Retired,Independent,High school graduate (Grade 12 with diploma or GED certificate),Never,No,White, , ,"$75,000 to less than $90,000", ,"No, no home telephone",Rural,"No, did not request money",18-64,50-64,55-64,MALE,Good,Excellent/Very Good/Good,Retired,High school graduate,High school or less,Less than college,"White, non-Hispanic","White, non-Hispanic",$40K-$89.9K,Yes to any,No to all,CPO HH,Illinois,Suburban (Metro),North Central,4,East North Central,2,Urban,EN,20180507,1.3501,0.9791
Somewhat happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A fair amount,No, ,Yes,Several times a week,No, ,"Rarely, or",Never,"Rarely, or","Rarely, or",Not Lonely,20,Somewhat satisfied,Somewhat dissatisfied,Very satisfied,A few times a year,A few times a week,A few times a week,A few times a week,A few times a month,A few times a week,Only a little,More of an individual problem,Minor role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Major reason,Not a reason,Minor reason,Major reason,Minor reason,Yes,Yes,Every day,At least an hour but less than 2 hours,Looking at what other people are doing,Strengthened,Worse,Equally satisfied,Equally satisfied,"No, would not recommend",Harder, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,68, ,Female, ,Married,2,0, ,Yes,No,No,No,No,No,No,Yes,Yes,No,Good,Good,Yes,Yes,Employed part-time,Independent,Two-year associate degree from a college or university,More than once a week,No,White, , ,Declined to answer, ,"No, no home telephone",Rural,"No, did not request money",65+,65-79,65-79,FEMALE,Good,Excellent/Very Good/Good,Employed,Some college,Some college,Less than college,"White, non-Hispanic","White, non-Hispanic",Don't know/Refused,Yes to any,Yes to any,CPO HH,Missouri,Suburban (Metro),North Central,Lowest,West North Central,3,Suburban,EN,20180507,1.3501,0.4037
Somewhat happy,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few,Yes,Several times a week,No, ,No, ,Never,Sometimes,Never,Sometimes,Not Lonely,10,Somewhat satisfied,Very satisfied,Very satisfied,A few times a month,A few times a week,A few times a week,A few times a week,A few times a week,A few times a month,Only a little,More of an individual problem,Minor role,Major role,Minor role,Major role,Mostly have themselves to blame,Major reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,Less than half an hour,Looking at what other people are doing,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,37, ,Male, ,Divorced,2,2,4, , ,No,No,Yes,Yes,No,No,No,No,Good,Good,No,No,Employed full-time,Independent,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Once or twice a month,No,White, , ,"$100,000 or more", ,"No, no home telephone",Suburban,"No, did not request money",18-64,30-49,35-44,MALE,Good,Excellent/Very Good/Good,Employed,College +,College +,College +,"White, non-Hispanic","White, non-Hispanic",$90K+,Yes to any,Yes to any,CPO HH,Kansas,Suburban (Metro),North Central,4,West North Central,3,Suburban,EN,20180507,1.3501,0.8786
Very happy,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat dissatisfied,A lot,No, ,Yes,Several times a week,Yes,About once a week,"Rarely, or",Sometimes,Sometimes,Sometimes,Not Lonely,4,Very satisfied,Very satisfied,Very satisfied,A few times a week,A few times a week,A few times a week,Every day,A few times a week,A few times a week,Nothing at all,More of a public health problem,Major role,Major role,Major role,Major role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Minor reason,Major reason,Major reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Strengthened,Better,Equally satisfied,Less satisfied,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19, ,Male, ,"Single, that is never married",4,0, ,No, ,No,No,Yes,No,No,No,Yes,No,Excellent,Very good,No,No,A student,Independent,"Some college, no degree (includes some community college)",Once or twice a month,No,Black or African-American, , ,"$20,000 to less than $30,000", ,"No, no home telephone",Urban,"Yes, requested money",18-64,18-29,18-24,MALE,Excellent/Very Good,Excellent/Very Good/Good,A student,Some college,Some college,Less than college,"Black, non-Hispanic","Black, non-Hispanic",Less than $40K,Yes to any,Yes to any,CPO HH,Minnesota,Urban- Center City (Metro),North Central,Highest,West North Central,2,Urban,EN,20180507,1.3501,1.2275
Very happy,Very satisfied,Somewhat satisfied,Very satisfied,Very satisfied,A lot,No, ,Yes,Several times a week,Yes,Once or twice a month,Never,Never,Never,"Rarely, or",Not Lonely,10,Very satisfied,Very satisfied,Very satisfied,A few times a week,Every day,Every day,A few times a week,A few times a month,Every day,A lot,More of a public health problem,No role at all,Major role,Major role,Major role,Both equally/It depends (Vol.),Major reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,At least an hour but less than 2 hours,Engaging in conversations with other people,Strengthened,Better,Equally satisfied,Equally satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,59, ,Female, ,Married,3,0, ,Yes,Yes,No,No,No,No,No,No,No,No,Excellent,Very good,No,No,Employed full-time,Independent,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Once a week,No,White, , ,Declined to answer, ,"Yes, has a home telephone",Rural,"No, did not request money",18-64,50-64,55-64,FEMALE,Excellent/Very Good,Excellent/Very Good/Good,Employed,College +,College +,College +,"White, non-Hispanic","White, non-Hispanic",Don't know/Refused,Yes to any,No to all,Dual HH,Utah,Urban- Center City County (Metro),West,2,Mountain,3,Suburban,EN,20180507,0.839,1.2175
Very happy,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Just a few,No, ,No, ,No, ,Never,Sometimes,Sometimes,"Rarely, or",Not Lonely,3,Somewhat satisfied,Very satisfied,Somewhat satisfied,Every day,Every day,A few times a month,Every day,Every day,A few times a year,Nothing at all,More of an individual problem,No role at all,No role at all,Minor role,No role at all,Due to factors and circumstances beyond their control,Major reason,Not a reason,Major reason,Minor reason,Major reason,Yes,Yes,Less than that, ,An equal mix of both,Strengthened,Better,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,71, ,Female, ,"Widowed, or",1,0, ,No, ,No,No,No,No,No,No,No,No,Good,Good,Yes,Yes,Retired,Democrat,"Some college, no degree (includes some community college)",Seldom,No,White, , ,"Less than $20,000", ,"Yes, has a home telephone",Urban,"No, did not request money",65+,65-79,65-79,FEMALE,Good,Excellent/Very Good/Good,Retired,Some college,Some college,Less than college,"White, non-Hispanic","White, non-Hispanic",Less than $40K,No to all,No to all,Dual HH,Alabama,Urban- Center City County (Metro),South,Lowest,East South Central,5,Rural,EN,20180507,0.4775,0.3121
Very happy,Somewhat satisfied,Somewhat dissatisfied,Very satisfied,Somewhat satisfied,A lot,Yes,Several times a week,No, ,No, ,Sometimes,Sometimes,"Rarely, or","Rarely, or",Not Lonely,7,Somewhat dissatisfied,Somewhat satisfied,Very satisfied,A few times a month,A few times a week,A few times a week,Every day,A few times a year,Every day,A lot,More of a public health problem,Minor role,Major role,Minor role,Minor role,Due to factors and circumstances beyond their control,Minor reason,Major reason,Major reason,Major reason,Minor reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Easier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27, ,Male, ,"Single, that is never married",2,0, ,No, ,No,No,Yes,No,No,Yes,No,Yes,Very good,Only fair,No,No,Employed full-time,Democrat,"Four-year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Never,No,Other or mixed race (SPECIFY),Asian and white, ,"$90,000 to less than $100,000", ,"No, no home telephone",Urban,"No, did not request money",18-64,18-29,25-34,MALE,Excellent/Very Good,Excellent/Very Good/Good,Employed,College +,College +,College +,"Other, non-Hispanic","Other, non-Hispanic",$90K+,Yes to any,Yes to any,CPO HH,California,Urban- Center City (Metro),West,Highest,Pacific,1,Urban,EN,20180507,1.3501,1.3473
Somewhat happy,Very satisfied,Somewhat dissatisfied,Somewhat satisfied,Very satisfied,A fair amount,Yes,Several times a week,Yes,About once a week,No, ,Sometimes,Sometimes,"Rarely, or",Sometimes,Not Lonely,5,Somewhat satisfied,Very satisfied,Somewhat satisfied,A few times a month,A few times a week,A few times a week,Every day,Every day,Every day,Some,More of an individual problem,Minor role,Major role,Minor role,Major role,Mostly have themselves to blame,Major reason,Minor reason,Major reason,Major reason,Major reason,Yes,Yes,Every day,2 hours or more,An equal mix of both,Weakened,Worse,Less satisfied,Less satisfied,"No, would not recommend",Hasn't made a difference, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19, ,Male, ,"Single, that is never married",3,1,17, , ,No,No,Yes,No,No,No,No,No,Very good,Excellent,No,No,A student,Republican,High school graduate (Grade 12 with diploma or GED certificate),Once or twice a month,No,Asian, , ,"$100,000 or more", ,"Yes, has a home telephone",Suburban,"No, did not request money",18-64,18-29,18-24,MALE,Excellent/Very Good,Excellent/Very Good/Good,A student,High school graduate,High school or less,Less than college,"Other, non-Hispanic","Other, non-Hispanic",$90K+,Yes to any,Yes to any,Dual HH,California, ,West,Highest,Pacific,1,Urban,EN,20180507,0.839,1.9256
